21721,NRRT-PPAZ-BS," Major in Natural Resource Recreation and Tourism, Parks and Protected Area Management Concentration"
23264,SMEF -DD-CT, Graduate Certificate in Student Affairs Management of Auxiliary Enterprises
23198,CAMB-MS," Master of Science in Cell and Molecular Biology, Plan B"
20885,ECON-PHD, Ph.D. in Economics
24134,GSIQ, Minor in Geospatial Information Science for Natural Resources
21652,PSNS-ZZ-MPSN," Professional Science Master's in Natural Sciences – Zoo, Aquarium, and Animal Shelter Management Specialization"
22218,CHEM-MS," Master of Science in Chemistry, Plan B"
23673,FRRS-FRFZ-BS," Major in Forest and Rangeland Stewardship,  Forest Fire Science Concentration"
23418,ANTH-PHD, Ph.D. in Anthropology
23825,ANTQ, Minor in Anthropology
22994,ECOL-MS," Master of Science in Ecology, Plan B"
21961,LLAC-LGEZ-MA," Master of Arts in Languages, Literatures, and Cultures, German Specialization, Foreign Languages, Literatures, and Cultures Option, Plan b"
22202,HDFS-LEPZ-BS," Major in Human Development and Family Studies, Leadership and Entrepreneurial Professions Concentration"
21291,ETST-BA, Major in Ethnic Studies
23149,BISF-CT, Graduate Certificate in Business Information Systems
21314,ETST-MA," Master of Arts in Ethnic Studies, Plan A"
21804,ENHR-NALZ-BS," Major in Environmental Horticulture, Nursery and Landscape Management Concentration"
22365,PHIL-GNPZ-BA," Major in Philosophy, General Philosophy Concentration"
23413,GEOG-BS, Major in Geography
20697,ANTH-PMTZ-MA," Master of Arts in Anthropology, Plan B, Professional Methods and Techniques Specialization"
23883,IARD-BS, Major in Interior Architecture and Design
20769,ELEG-MS," Master of Science in Electrical Engineering, Plan A"
22402,ILCQ, Interdisciplinary Minor in Linguistics and Culture
22270,HORQ, Minor in Horticulture
22660,BBSF, Certificate in Business-to-Business Selling
23852,ANTH-HEVZ-MA," Master of Arts in Anthropology, Plan B, Humans and the Environment Specialization"
21353,TOXC-MS," Master of Science in Toxicology, Plan A"
23461,TDTQ, Minor in Theatre – Design/Technical Theatre
23106,SYSE-DE, Doctor of Engineering (D.Eng.) in Systems Engineering 
21726,PSYC-IOPZ-BS," Major in Psychology, Industrial/Organizational Concentration"
22818,ISWQ, Interdisciplinary Minor in Sustainable Water
23862,FRST-BS, Major in Forestry
21760,LFRQ, Minor in French
22358,PHLQ, Minor in Philosophy
21556,MICR-MS," Master of Science in Microbiology, Plan B"
21925,FSAN-MS," Master of Science in Food Science and Nutrition, Dietetics Option, Plan B"
21182,ENGL-CNFZ-MA," Master of Arts in English, Creative Nonfiction Specialization"
21147,FRST-FRBZ-BS," Major in Forestry, Forest Biology Concentration"
21086,CHEQ, Minor in Chemistry
22577,IOAQ, Interdisciplinary Minor in Organic Agriculture
21452,MUSC-MM," Master of Music, Performance Option"
